segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,symbol,qty_multiplier,security_type,weekly,expiry,asset_symbol,underlying_symbol,minimum_lot,asset_type,underlying_type,strike_price,short_name,asset_key,underlying_key,last_trading_date,price_quote_unit,download_date
NSE_EQ,QUANTUM NIFTY 50 ETF,NSE,INF082J01499,EQ,NSE_EQ|INF082J01499,1.0,100000.0,16819,1.0,QNIFTY,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,VIP INDUSTRIES LTD,NSE,INE054A01027,EQ,NSE_EQ|INE054A01027,1.0,100000.0,3703,5.0,VIPIND,1.0,NORMAL,,,,,,,,,VIP Industries,,,,,2026-04-17
NSE_EQ,UTI ASSET MNGMT CO LTD,NSE,INE094J01016,EQ,NSE_EQ|INE094J01016,1.0,100000.0,527,5.0,UTIAMC,1.0,NORMAL,,,,,,,,,UTI Asset Management Company,,,,,2026-04-17
NSE_EQ,BIRLASLAMC - GSEC10ABSL,NSE,INF209KC1142,EQ,NSE_EQ|INF209KC1142,1.0,100000.0,24847,1.0,GSEC10ABSL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,GINNI FILAMENTS LTD,NSE,INE424C01010,EQ,NSE_EQ|INE424C01010,1.0,100000.0,1142,1.0,GINNIFILA,1.0,NORMAL,,,,,,,,,GINNI FILAMENTS,,,,,2026-04-17
NSE_EQ,AXITA COTTON LIMITED,NSE,INE02EZ01022,EQ,NSE_EQ|INE02EZ01022,1.0,100000.0,9902,1.0,AXITA,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,CALIFORNIA SOFTWARE CO LT,NSE,INE526B01014,EQ,NSE_EQ|INE526B01014,1.0,100000.0,8341,1.0,CALSOFT,1.0,NORMAL,,,,,,,,,California Software Co,,,,,2026-04-17
NSE_EQ,IIFL FINANCE LIMITED,NSE,INE530B01024,EQ,NSE_EQ|INE530B01024,1.0,100000.0,11809,5.0,IIFL,1.0,NORMAL,,,,,,,,,IIFL Finance,,,,,2026-04-17
NSE_EQ,ZUARI AGRO CHEMICALS LTD,NSE,INE840M01016,EQ,NSE_EQ|INE840M01016,1.0,100000.0,29050,1.0,ZUARI,1.0,NORMAL,,,,,,,,,Zuari Agro Chemicals,,,,,2026-04-17
NSE_EQ,ZENITH STEEL PIP IND LTD,NSE,INE318D01020,EQ,NSE_EQ|INE318D01020,1.0,100000.0,14562,1.0,ZENITHSTL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,INDIA SHELTER FIN CORP L,NSE,INE922K01024,EQ,NSE_EQ|INE922K01024,1.0,100000.0,20556,5.0,INDIASHLTR,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,ETERNAL LIMITED,NSE,INE758T01015,EQ,NSE_EQ|INE758T01015,1.0,100000.0,5097,1.0,ETERNAL,1.0,NORMAL,,,,,,,,,Zomato,,,,,2026-04-17
NSE_EQ,SIMPLEX INFRASTRUCTURES L,NSE,INE059B01024,EQ,NSE_EQ|INE059B01024,1.0,100000.0,3162,1.0,SIMPLEXINF,1.0,NORMAL,,,,,,,,,SIMPLEX INFRASTRUCTURES,,,,,2026-04-17
NSE_EQ,ITC LTD,NSE,INE154A01025,EQ,NSE_EQ|INE154A01025,1.0,100000.0,1660,5.0,ITC,1.0,NORMAL,,,,,,,,,ITC,,,,,2026-04-17
